"","Word","Feeling"
"1","à-vontade","1"
"2","abafado","-1"
"3","abafante","-1"
"4","abaixado","-1"
"5","abalado","-1"
"6","abalizado","1"
"7","abalroado","-1"
"8","abalroar","1"
"10","abanar","1"
"12","abandalhado","-1"
"13","abandalhamento","-1"
"14","abandonado","-1"
"15","abandonar","-1"
"17","abarcante","0"
"19","abarrotado","-1"
"20","abastado","1"
"21","abastecido","0"
"22","abater","1"
"24","abatido","-1"
"25","abelhudo","-1"
"26","abençoado","1"
"27","aberração","-1"
"28","aberrante","-1"
"29","aberrativo","-1"
"30","aberto","1"
"31","abespinhado","-1"
"32","abestalhado","-1"
"33","abilolado","-1"
"34","abjeção","-1"
"35","abjecção","-1"
"36","abjecto","-1"
"37","abjeto","-1"
"38","abnegado","1"
"39","abobado","-1"
"40","abobalhado","-1"
"41","abolicionista","0"
"42","abolido","-1"
"43","abominador","-1"
"44","abominando","-1"
"45","abominar","0"
"47","abominável","-1"
"48","abonado","1"
"49","abonatório","1"
"50","abonecado","0"
"51","aborrecer-se","-1"
"52","aborrecer","1"
"54","aborrecido","-1"
"55","abortado","-1"
"56","abraçado","1"
"57","abrasileirado","0"
"58","abrigado","0"
"59","abrilhantado","1"
"60","abrir a alma","1"
"61","abrir o coração","1"
"62","abrir os olhos","1"
"63","abrupto","-1"
"64","abrutalhado","-1"
"65","absentista","-1"
"67","absolutista","0"
"68","absoluto","0"
"69","absolvido","0"
"70","absorvente","1"
"71","abstémico","1"
"72","abstémio","1"
"73","abstencionista","0"
"74","abstinente","0"
"75","abstracto","-1"
"76","abstraído","-1"
"77","abstrato","-1"
"78","abstrusidade","-1"
"79","abstruso","-1"
"80","absurdo","-1"
"81","abulia","-1"
"82","abúlico","-1"
"83","aburguesado","0"
"84","abusado","-1"
"85","abusador","-1"
"86","abusar","-1"
"88","abusivo","-1"
"89","acabado","-1"
"91","acabadote","-1"
"92","acabrunhado","-1"
"93","acaciano","-1"
"94","acadêmico","0"
"95","acalorado","0"
"96","açambarcador","-1"
"97","acanhado","-1"
"98","acanhamento","-1"
"99","acanhar-se","-1"
"100","acatado","1"
"101","acatador","0"
"102","acautelado","0"
"103","acéfalo","-1"
"104","aceitável","1"
"105","aceite","0"
"106","aceito","0"
"107","acelerado","0"
